id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
3R3HWPQBllWXfF2WVNWbHM,"Sodakku (From ""Thaanaa Serndha Koottam"")",Anirudh Ravichander,"Sodakku (From ""Thaanaa Serndha Koottam"")",2017-10-26,0.7391304347826088,0.5567575125549095,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b27329cfea77e930f563c6fbaead
3i7qScF9Oyp31O9bAutJez,Mallipoo,A.R. Rahman,Vendhu Thanindhathu Kaadu (Original Motion Picture Soundtrack),2022-09-02,0.9130434782608696,0.5717931090733253,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2739bc51a34623888d284150721
3eAlINCV35FFmEoOD396wq,"Aalaporaan Thamizhan (From ""Mersal"")",A.R. Rahman,"Aalaporaan Thamizhan (From ""Mersal"")",2017-08-10,0.4492753623188406,0.8118406487771342,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2736ef21550d0b12f4fdde069a4
0vzEVSSjovxIn85uyrsvV3,"Iraiva (From ""Velaikkaran"")",Anirudh Ravichander,"Iraiva (From ""Velaikkaran"")",2017-11-02,0.4782608695652174,0.6867972454936322,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273835c085446a6a112c980c5ad
1HsfurxFZV4HxCAepRHfhJ,"Surviva (From ""Vivegam"") (feat. Yogi B & Mali)",Anirudh Ravichander,"Surviva (From ""Vivegam"") (feat. Yogi B & Mali)",2017-06-19,0.6666666666666666,0.5174044253871339,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b27349af55a9e2bbc778356c38fd
75Y5T5mGszTKlayFN8YxB0,"Naana Thaana (From ""Thaanaa Serndha Koottam"")",Anirudh Ravichander,"Naana Thaana (From ""Thaanaa Serndha Koottam"")",2017-07-27,0.5217391304347826,0.6049520524801043,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b27321fb398650ff11664e86b165
0srLmMJws5nv8d1n9qrtro,Yembuttu Irukkuthu Aasai,D. Imman,Saravanan Irukka Bayamaen (Original Motion Picture Soundtrack),2017-03-28,0.8695652173913043,0.628810458734838,"tamil pop, tamil dance, kollywood",https://i.scdn.co/image/ab67616d0000b273bc3f166df9079e5fa40e0a91
7f9ZoM3NDTEv7kOUYpjs3U,"Azhagiye (From ""Kaatru Veliyidai"")",A.R. Rahman,"Azhagiye (From ""Kaatru Veliyidai"")",2017-02-02,0.6231884057971014,0.5235356489519126,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273c337522f31b82e882eca2b6f
1Zmr2I4xoQdgphKB7or6Ns,Wi Wi Wi Wi Wifi,Harris Jayaraj,S3 (Original Motion Picture Soundtrack),2016-11-28,0.0,0.6764620206704496,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273f0fb808afd08f28502f20c99
5dnUb7ZJX4JNNyFbGzqO6h,Chalmaar,"Sajid-Wajid,Benny Dayal",Devi (Original Motion Picture Soundtrack),2016-09-27,0.0,0.6037286042203138,,https://i.scdn.co/image/ab67616d0000b2733fc984b874a9ffc17d9d4d2c
